Hisse    Temettü Tar  Verim   T-1_Fiyat  T-7       T-6       T-5       T-4       T-3       T-2       T-1       T_Günü    T+1       T+2       T+3       T+4       T+5       T+6       T+7      
BOBET    2023-04-04   %2.54  17.75      +1.06%    -0.37%    -6.72%    +1.80%    -1.00%    -2.07%    +1.20%    +0.28%    +1.35%    -2.11%    +3.34%    +4.38%    -0.31%    -1.84%    +1.93%   
NTGAZ    2023-04-04   %7.96  5.73       +0.65%    +3.96%    -5.40%    +0.24%    +3.65%    -3.76%    +3.24%    -10.01%   -4.33%    -4.26%    -1.27%    +0.29%    -2.00%    +0.07%    -1.60%   
POLHO    2023-04-05   %3.04  2.35       +8.89%    -4.54%    +1.21%    -2.56%    -4.47%    +0.00%    +7.34%    -0.09%    +1.54%    -0.08%    -1.94%    -1.55%    +4.10%    -0.50%    +4.30%   
KARTN    2023-04-05   %2.26  73.20      -0.84%    -4.03%    +1.77%    -0.36%    -1.96%    +2.97%    +5.48%    -3.69%    -2.20%    +1.96%    +5.26%    -2.30%    -0.41%    -1.67%    +0.78%   
BEYAZ    2023-04-05   %1.42  19.50      -3.13%    -9.14%    +9.99%    +9.99%    -6.25%    +9.97%    -2.35%    -4.00%    -1.07%    -1.67%    -1.59%    -1.17%    +0.96%    +2.80%    -1.63%   
SEKFK    2023-04-06   %2.07  4.28       -3.99%    +0.69%    -1.49%    +0.00%    -1.51%    +0.94%    +0.23%    -2.57%    -0.12%    +0.96%    +0.24%    +1.30%    +0.23%    -0.35%    -2.69%   
DOAS     2023-04-06   %6.15  133.20     -4.02%    +0.87%    -1.02%    -3.24%    +0.41%    +9.20%    -0.67%    -7.28%    +1.70%    +2.63%    +0.00%    -0.70%    -0.47%    -2.59%    -0.32%   
LYDHO    2023-04-07   %5.73  8.39       -2.19%    -4.58%    -3.16%    -7.26%    +2.87%    +0.51%    +5.80%    -2.38%    +3.54%    -3.30%    -0.49%    -1.47%    -1.74%    +0.76%    -1.13%   
LINK     2023-04-10   %3.86  1.28       +3.98%    -2.17%    -3.69%    +3.05%    +4.12%    +5.38%    +7.14%    -6.67%    -6.12%    -2.74%    +3.04%    -3.34%    -3.05%    -0.46%    -0.19%   
SKBNK    2023-04-10   %2.04  2.49       +6.36%    +9.83%    +0.00%    -1.17%    -0.79%    -0.40%    -0.80%    +0.00%    +2.81%    +0.00%    -3.52%    +0.00%    -1.21%    -0.82%    +2.89%   
KLKIM    2023-04-10   %1.60  14.05      +2.30%    -1.82%    -1.68%    +0.90%    -2.76%    -1.10%    +3.98%    +3.47%    +4.39%    -3.13%    -1.11%    -1.12%    -2.78%    -1.25%    +0.09%   
ALKA     2023-04-10   %1.55  7.73       +9.88%    -7.71%    +8.13%    +7.45%    +2.97%    -0.19%    -0.71%    -4.27%    -3.11%    -1.05%    -1.97%    -2.73%    -1.40%    -0.90%    -0.61%   
ESCAR    2023-04-11   %1.84  10.65      +3.47%    -5.31%    -1.26%    -0.82%    -1.81%    +2.89%    +0.20%    -3.77%    -0.79%    +0.43%    -0.69%    -3.53%    -4.88%    +0.53%    -0.29%   
AKSA     2023-04-11   %2.88  6.27       -1.24%    -0.91%    +2.32%    +0.48%    -0.55%    +2.13%    +1.28%    -3.46%    +1.03%    -0.82%    +1.92%    -2.09%    -3.51%    +1.00%    -0.56%   
YGGYO    2023-04-11   %4.59  38.12      +0.27%    +0.26%    +0.32%    +0.37%    +0.21%    +0.00%    -0.31%    -7.66%    -0.28%    +1.71%    +0.73%    +0.00%    -0.39%    -0.11%    -0.39%   
EGPRO    2023-04-11   %4.33  9.12       -4.41%    -0.78%    +3.07%    -0.26%    -0.26%    +2.74%    +2.25%    -3.99%    -2.29%    -0.26%    -2.00%    -1.42%    +0.27%    +2.43%    -0.61%   
NATEN    2023-04-12   %0.61  3.74       -2.38%    +10.00%   +9.98%    -6.85%    +8.08%    +1.87%    -3.80%    +1.57%    -2.48%    -2.41%    -2.96%    +0.73%    +9.95%    -3.28%    +2.64%   
ENKAI    2023-04-12   %1.03  32.02      +3.75%    +3.68%    -2.60%    +0.39%    -1.69%    +3.43%    +2.17%    -1.75%    -1.40%    -0.71%    -4.09%    -2.03%    +3.87%    +0.93%    +1.85%   
ALKIM    2023-04-12   %2.52  16.53      +1.58%    +0.62%    +3.16%    -0.72%    +0.42%    +0.06%    -0.54%    -4.72%    -0.70%    -0.06%    -1.66%    +1.11%    +1.29%    -1.52%    -0.39%   
MAGEN    2023-04-12   %0.05  4.18       -4.42%    +10.00%   -0.28%    +0.96%    +1.95%    +1.42%    +1.62%    +0.64%    -0.74%    +0.11%    +1.06%    +0.63%    +2.03%    +0.87%    +1.72%   
ESEN     2023-04-12   %0.23  2.13       -1.38%    +9.92%    +3.74%    -5.99%    +6.54%    +1.31%    -2.26%    +1.16%    -1.64%    -2.08%    -4.07%    +1.06%    +4.55%    -3.18%    +0.26%   
EKGYO    2023-04-12   %3.28  7.28       +0.65%    +5.14%    -2.60%    +0.47%    +4.37%    +8.97%    -0.14%    -3.85%    +0.00%    -1.86%    -1.02%    -1.32%    +1.34%    -1.18%    -0.89%   
ENJSA    2023-04-12   %6.35  32.56      +3.14%    +6.94%    +0.20%    +5.42%    -0.56%    +2.08%    +0.49%    -7.62%    -1.60%    -1.69%    -2.06%    +3.09%    -0.61%    +1.99%    +2.28%   
TKFEN    2023-04-12   %3.44  36.86      +1.41%    +3.21%    -0.18%    +2.65%    +2.58%    +1.84%    +1.10%    -4.40%    -0.57%    -0.68%    -1.90%    +1.05%    +0.17%    -0.75%    +4.08%   
SODSN    2023-04-12   %3.01  3.47       -0.81%    -1.05%    +3.77%    -2.91%    +1.20%    +3.85%    -1.07%    -1.73%    +0.22%    +1.02%    -2.24%    -0.22%    -0.15%    +0.00%    +0.37%   
GARAN    2023-04-14   %6.38  29.46      -2.68%    -1.09%    -0.22%    +1.98%    +3.59%    +5.14%    -2.77%    -7.20%    -0.37%    +2.20%    +5.96%    -4.61%    +0.14%    -3.90%    +0.07%   
ALCAR    2023-04-17   %1.58  472.40     -0.63%    -0.04%    +1.21%    +4.08%    +0.13%    -0.46%    -1.07%    -4.51%    +3.92%    -2.58%    -0.63%    +3.99%    -3.94%    +1.46%    -1.50%   
PAGYO    2023-04-17   %1.52  23.20      +2.53%    -1.37%    +1.76%    +5.10%    -0.52%    +0.96%    +0.00%    -5.00%    -0.64%    +0.82%    +1.81%    +6.94%    +3.24%    +3.30%    -6.08%   
CLEBI    2023-04-17   %6.48  588.60     +3.85%    +1.56%    +6.99%    -3.09%    +1.94%    +1.10%    +0.51%    -12.98%   -2.89%    +0.42%    -0.16%    -1.54%    -3.26%    -3.79%    -0.22%   
VAKKO    2023-04-18   %3.83  64.50      +4.83%    +5.82%    -2.75%    +0.00%    +1.26%    +0.00%    +0.00%    -6.28%    -2.15%    -1.94%    +3.45%    +0.00%    -5.33%    -4.84%    -3.70%   
SELEC    2023-04-18   %0.67  33.80      -0.44%    +4.82%    +2.63%    +1.69%    +0.11%    -2.74%    -0.71%    +2.07%    -2.14%    -4.56%    +2.98%    -1.99%    -5.60%    +0.00%    -0.98%   
AKMGY    2023-04-19   %4.48  92.80      -1.14%    +5.67%    +1.79%    +0.00%    -2.04%    +2.31%    +4.92%    -14.01%   +0.69%    -1.43%    +4.10%    -7.94%    -2.96%    -5.43%    -4.74%   
KFEIN    2023-04-24   %0.39  2.37       +5.77%    -3.08%    -1.39%    -1.49%    -0.59%    +0.08%    +0.00%    -1.18%    -4.27%    -3.66%    -0.09%    -2.69%    -6.67%    -3.47%    +1.22%   
MERCN    2023-04-25   %0.45  12.91      -2.03%    +2.41%    +6.62%    -1.28%    -3.90%    +0.32%    +4.31%    -4.24%    +1.08%    -3.74%    -3.77%    -8.70%    -5.11%    +6.18%    -0.44%   
SOKE     2023-04-25   %1.73  13.45      +3.54%    -2.39%    -3.99%    -0.58%    -0.73%    -1.11%    +0.52%    -3.42%    -2.77%    +0.24%    -4.34%    -5.86%    -6.58%    +4.60%    -1.53%   
ALGYO    2023-04-25   %2.68  2.08       -2.11%    +0.15%    -1.54%    -0.31%    +2.74%    +0.23%    -0.46%    -5.66%    -4.78%    +1.02%    -1.01%    -6.38%    -5.73%    -1.35%    +1.86%   
ECILC    2023-04-25   %1.05  34.96      +1.92%    -1.19%    -2.61%    +0.72%    +7.58%    +0.30%    +4.98%    -2.40%    -5.86%    -4.55%    -3.39%    -1.01%    -4.84%    -0.65%    -3.54%   
AYEN     2023-04-26   %3.38  26.14      -1.59%    -3.38%    -1.29%    +1.39%    -0.53%    +2.45%    -2.46%    -7.88%    -0.17%    -2.66%    -5.98%    -2.91%    +2.53%    -2.28%    -1.87%   
PSDTC    2023-04-26   %9.29  37.20      +2.39%    -3.06%    -0.29%    +0.23%    +0.40%    -0.86%    +7.14%    -16.51%   -3.09%    -4.45%    -6.40%    -6.39%    +1.90%    -2.65%    +2.08%   
ECZYT    2023-04-27   %1.18  145.40     -3.60%    -1.32%    +1.41%    +2.78%    +9.97%    +0.39%    -6.19%    -5.71%    -3.57%    -5.45%    -10.00%   +1.16%    -7.12%    +5.77%    +7.25%   
EGGUB    2023-04-27   %1.85  29.14      -0.92%    -2.19%    +0.88%    +0.07%    +1.41%    -2.65%    -0.88%    -2.33%    -3.02%    -6.16%    -2.55%    +1.82%    -0.08%    +0.47%    -0.85%   
OSMEN    2023-04-28   %0.36  71.25      +0.18%    +1.52%    -1.67%    +9.22%    +10.00%   -3.43%    +9.95%    +3.30%    -9.99%    -2.57%    -3.33%    -4.49%    +9.98%    +9.99%    -4.58%   
EGEEN    2023-04-28   %1.32  4680.00    +0.54%    +0.63%    +0.04%    +9.78%    -1.84%    +0.64%    -4.11%    -2.93%    -6.23%    -2.32%    +0.31%    -1.80%    +0.81%    -2.88%    +1.30%   
UNLU     2023-05-02   %3.15  8.16       +0.46%    -0.34%    +1.02%    -3.15%    -0.93%    -0.35%    -3.89%    -7.97%    -2.13%    +2.04%    +0.13%    +2.26%    +0.52%    -1.81%    +9.89%   
ASTOR    2023-05-02   %0.96  49.62      -1.99%    +0.29%    -1.06%    -4.45%    +0.16%    +4.08%    -2.71%    -7.98%    -9.99%    +9.98%    -1.50%    -1.17%    -5.55%    -1.68%    +6.12%   
ULUFA    2023-05-02   %1.31  0.71       -1.56%    -1.26%    -2.08%    +0.00%    -2.61%    +0.00%    -3.36%    -7.29%    -4.49%    +3.53%    -0.57%    +0.00%    -4.95%    -2.61%    +2.88%   
INDES    2023-05-02   %4.27  5.31       +1.06%    +0.58%    +0.36%    -2.90%    -0.80%    -2.85%    -1.50%    -7.64%    -1.40%    +1.85%    +0.61%    +0.12%    -1.20%    -3.17%    +4.72%   
BRKVY    2023-05-02   %1.90  20.88      +0.09%    +0.00%    +3.47%    -3.35%    -5.66%    +1.93%    -0.95%    -9.72%    -7.27%    +4.58%    -4.27%    +1.31%    +3.67%    -3.75%    +0.85%   
ANGEN    2023-05-03   %4.34  12.37      -0.88%    +0.07%    -1.33%    -3.66%    +1.32%    -1.61%    -3.66%    -11.16%   +3.73%    +4.12%    -2.70%    -7.36%    -7.43%    +0.96%    -3.50%   
BMSCH    2023-05-03   %2.11  4.76       -0.98%    +2.46%    +0.62%    -2.32%    -0.35%    -2.74%    -4.91%    -4.78%    +1.43%    +0.31%    +2.04%    -1.30%    -1.87%    -0.08%    -0.08%   
BMSTL    2023-05-03   %0.56  12.01      +4.95%    +5.02%    +2.08%    +1.00%    -4.20%    +0.04%    +1.90%    -10.54%   -0.32%    +1.23%    +1.57%    +0.66%    +1.58%    +0.99%    +0.43%   
ISBIR    2023-05-03   %1.05  59.75      -0.30%    -0.15%    -2.12%    -4.18%    +0.00%    -0.57%    -2.85%    -4.35%    +2.01%    +5.40%    +8.14%    +1.13%    +9.67%    -3.32%    +2.60%   
GLCVY    2023-05-03   %8.03  24.08      +0.67%    +4.52%    -2.88%    -0.99%    +1.25%    -0.82%    -0.08%    -17.98%   -0.81%    +0.10%    -5.41%    -4.80%    -4.87%    +6.61%    -3.02%   
ALFAS    2023-05-03   %1.01  44.53      -1.98%    -3.21%    -4.48%    +9.99%    +2.60%    -0.97%    +2.36%    -11.01%   +2.27%    -9.99%    -5.93%    -7.10%    -4.67%    +10.00%   +9.16%   
JANTS    2023-05-03   %1.98  11.44      -0.68%    +1.87%    +0.58%    -3.08%    +0.69%    -2.76%    -8.05%    -4.68%    +1.85%    -1.59%    +0.81%    -0.46%    +1.09%    +3.87%    -1.92%   
AKSEN    2023-05-03   %2.57  28.52      -2.04%    +0.31%    -6.36%    -2.74%    -1.68%    -4.51%    +1.93%    -4.07%    -0.44%    -0.07%    +1.84%    -2.45%    -0.89%    +5.67%    +0.28%   
BASGZ    2023-05-04   %8.66  13.39      -1.26%    -5.10%    -1.55%    -0.14%    -1.80%    +1.68%    -3.60%    -9.86%    -3.48%    +7.30%    -4.88%    -3.78%    +1.66%    -1.29%    -2.53%   
YUNSA    2023-05-04   %5.34  5.24       -1.17%    +0.89%    -2.65%    +0.81%    +0.90%    -5.05%    -9.97%    +2.32%    -7.76%    +3.81%    +2.25%    +0.12%    +5.20%    -3.74%    -2.28%   
GWIND    2023-05-05   %3.14  14.60      -3.66%    -2.15%    +0.19%    -2.00%    -4.41%    -2.94%    +1.45%    -3.66%    +1.76%    -2.35%    -0.35%    +4.41%    -3.00%    -3.09%    +2.90%   
DOHOL    2023-05-08   %0.79  8.29       -4.23%    -1.70%    -1.50%    -5.14%    +3.57%    +0.24%    -1.66%    +7.36%    -1.24%    -4.66%    +9.90%    -3.91%    -9.94%    +0.25%    +2.38%   
MACKO    2023-05-08   %4.06  12.75      -3.18%    +2.44%    -2.84%    -5.82%    -0.08%    +0.36%    +1.80%    -5.57%    -0.37%    -2.04%    +4.47%    -0.49%    -3.64%    +2.46%    +5.00%   
FLAP     2023-05-08   %1.13  5.93       -1.67%    -2.72%    -8.03%    -10.00%   -9.99%    -1.41%    -6.02%    +3.71%    -6.34%    -4.86%    +2.55%    -5.69%    +10.00%   +9.95%    -2.81%   
ULUUN    2023-05-08   %4.23  5.93       -2.31%    +4.49%    -2.65%    -6.90%    -5.86%    +4.67%    +1.75%    -0.09%    +2.06%    -2.11%    -0.95%    -4.08%    -3.62%    +1.79%    +4.80%   
DEVA     2023-05-08   %0.34  39.98      -3.12%    +2.35%    -2.60%    -2.92%    +2.80%    +0.15%    +2.57%    +0.20%    -2.10%    -1.58%    +5.60%    -3.43%    -4.47%    +1.12%    +4.68%   
ERBOS    2023-05-08   %0.99  102.50     -2.94%    -1.48%    -1.83%    -7.12%    -4.93%    -0.38%    -1.25%    +2.05%    +0.00%    -2.96%    +3.55%    -2.00%    -1.55%    +2.47%    +5.58%   
INGRM    2023-05-08   %1.76  272.20     -1.87%    +2.54%    -5.31%    -7.21%    +0.00%    +3.29%    +3.34%    -5.44%    -0.89%    -3.02%    +9.98%    -3.34%    +1.83%    +9.97%    +4.52%   
BOBET    2023-05-08   %2.14  21.04      -3.40%    +2.32%    +0.22%    +1.44%    +5.07%    +9.44%    -0.28%    -6.99%    +2.81%    -1.99%    +0.81%    -6.79%    -0.65%    +5.11%    +0.78%   
YAPRK    2023-05-10   %1.52  1.69       -0.68%    -2.78%    -5.77%    +0.86%    +0.00%    +1.02%    -0.17%    -2.36%    +9.97%    +4.61%    +3.66%    +1.74%    -0.76%    -1.10%    -2.76%   
TGSAS    2023-05-10   %1.92  14.06      -3.31%    -5.81%    -7.12%    +3.98%    +0.64%    +2.26%    -3.10%    -1.21%    +1.73%    -1.42%    -0.22%    +5.40%    +3.96%    +3.48%    -3.87%   
TKFEN    2023-05-10   %4.55  27.84      -7.10%    -6.25%    +0.44%    +1.40%    -0.87%    +4.55%    -2.32%    -7.18%    +7.28%    -2.09%    -4.94%    +4.65%    +2.37%    -3.04%    -1.64%   
MAVI     2023-05-10   %3.58  13.57      -1.96%    -1.33%    -1.06%    +2.05%    -0.29%    +2.02%    +2.16%    -2.30%    +5.09%    +0.81%    -7.12%    +1.72%    +7.34%    -1.40%    -3.74%   
LIDER    2023-05-11   %0.32  5.12       -9.98%    +1.89%    -3.58%    -7.76%    -9.94%    +1.08%    -2.29%    +7.81%    -2.90%    +3.58%    +0.86%    -0.21%    +7.44%    +0.67%    +2.12%   
GENIL    2023-05-15   %2.53  2.64       +2.68%    +1.38%    +1.50%    -6.93%    -0.79%    +2.95%    -3.89%    -4.55%    +0.32%    +3.64%    -1.17%    -4.22%    -1.51%    +1.04%    -0.86%   
KSTUR    2023-05-16   %2.62  299.50     +1.54%    +0.76%    +0.50%    +0.82%    +3.88%    -4.11%    +6.13%    -0.27%    -0.60%    -2.26%    -3.55%    +2.89%    -1.84%    -0.96%    +2.86%   
SUMAS    2023-05-17   %2.59  78.00      +3.15%    -1.15%    -1.48%    +4.58%    -2.44%    -1.28%    +1.30%    +2.44%    -4.01%    -0.65%    +1.05%    +2.73%    +1.20%    +5.81%    +2.13%   
PCILT    2023-05-22   %3.80  8.19       -4.18%    +1.83%    -0.69%    +9.97%    +9.97%    +1.83%    +1.99%    +0.28%    -2.59%    -0.29%    +2.96%    +2.96%    +3.15%    +2.79%    -3.48%   
CCOLA    2023-05-22   %1.04  255.00     +0.73%    +9.97%    +4.51%    -9.97%    -7.37%    +5.60%    +1.67%    -1.69%    -6.10%    -2.76%    -1.49%    +0.04%    +0.49%    +1.85%    +0.17%   
AEFES    2023-05-23   %1.62  5.91       +9.37%    -0.84%    -9.95%    -9.96%    +0.08%    -1.53%    -3.03%    -2.70%    +2.61%    +0.17%    -0.17%    -2.71%    +2.26%    -0.94%    +0.95%   
LOGO     2023-05-24   %2.49  54.20      -2.44%    -5.95%    -1.92%    +4.11%    +0.00%    -3.59%    +0.93%    -8.71%    +4.18%    +1.75%    +1.43%    +0.38%    +1.59%    +1.01%    +4.56%   
AGHOL    2023-05-24   %0.80  9.25       -0.57%    -9.99%    +0.90%    +1.00%    -2.90%    -1.50%    +0.33%    +0.00%    -2.65%    +2.17%    +0.98%    +2.58%    +0.37%    +5.59%    +1.98%   
PRKAB    2023-05-25   %0.31  22.34      -1.64%    +2.13%    +2.99%    -3.08%    -1.27%    +0.83%    +2.01%    -0.36%    +1.26%    +5.59%    +2.77%    +2.21%    +1.68%    -0.71%    +2.69%   
BLCYT    2023-05-25   %1.72  10.48      -2.02%    +2.06%    +3.03%    -2.06%    +0.00%    +2.80%    +2.04%    -3.24%    +0.79%    +1.96%    +4.80%    +4.03%    +0.18%    +2.46%    +4.37%   
ARENA    2023-05-25   %0.69  13.47      -2.52%    +2.05%    +1.49%    -7.67%    -3.74%    -1.44%    -1.75%    -1.41%    +2.94%    +4.46%    +1.96%    +2.40%    +3.42%    +2.14%    +2.48%   
VBTYZ    2023-05-26   %1.87  8.00       +0.67%    +6.55%    -2.79%    -1.35%    +3.09%    -0.06%    +3.75%    -1.22%    +3.37%    +2.72%    +1.22%    +0.47%    +0.68%    +3.57%    -0.15%   
